"Country,""PPP"""
"Afghanistan,""2077.9"""
"Albania,""13899.9"""
"Algeria,""11320"""
"American Samoa,"""""
"Andorra,"""""
"Angola,""6443"""
"Antigua and Barbuda,""18235.1"""
"Argentina,""20763"""
"Armenia,""13307.2"""
"Aruba,""38897.1"""
"Australia,""52397.4"""
"Austria,""55648.9"""
"Azerbaijan,""14474.3"""
"Bahamas The,""32526.5"""
"Bahrain,""43739.6"""
"Bangladesh,""5136.7"""
"Barbados,""13344.6"""
"Belarus,""20231.7"""
"Belgium,""52626.6"""
"Belize,""6455.2"""
"Benin,""3504.1"""
"Bermuda,""80799.5"""
"Bhutan,""11126.1"""
"Bolivia,""8272.4"""
"Bosnia and Herzegovina,""15732.8"""
"Botswana,""15452.7"""
"Brazil,""14829.9"""
"British Virgin Islands,"""""
"Brunei Darussalam,""65588.3"""
"Bulgaria,""24620"""
"Burkina Faso,""2273.2"""
"Burundi,""770.9"""
"Cabo Verde,""6374.3"""
"Cambodia,""4419.8"""
"Cameroon,""3866.1"""
"Canada,""48091"""
"Cayman Islands,""71567.4"""
"Central African Republic,""987.3"""
"Chad,""1601.8"""
"Channel Islands,"""""
"Chile,""25067.7"""
"China,""17204.4"""
"Colombia,""14570.2"""
"Comoros,""3152"""
"Congo Dem. Rep.,""1141.4"""
"Congo,""3621"""
"Costa Rica,""21143.3"""
"Cote d'Ivoire,""5463.5"""
"Croatia,""29134"""
"Cuba,"""""
"Curacao,""21405.9"""
"Cyprus,""38458.2"""
"Czech Republic,""42049.2"""
"Denmark,""60551.6"""
"Djibouti,""5779.6"""
"Dominica,""10849.2"""
"Dominican Republic,""17929"""
"Ecuador,""10891.7"""
"Egypt,""12602.3"""
"El Salvador,""8417.4"""
"Equatorial Guinea,""17933.8"""
"Eritrea,""1625.5"""
"Estonia,""37925.1"""
"Eswatini,""8862.4"""
"Ethiopia,""2421.9"""
"Faroe Islands,"""""
"Fiji,""12074.3"""
"Finland,""50810.5"""
"France,""46712"""
"French Polynesia,"""""
"Gabon,""15100.7"""
"Gambia The,""2274.2"""
"Georgia,""14761.5"""
"Germany,""54263.6"""
"Ghana,""5742.3"""
"Gibraltar,"""""
"Greece,""28377.4"""
"Greenland,"""""
"Grenada,""15277.6"""
"Guam,"""""
"Guatemala,""8850.4"""
"Guinea,""2816.3"""
"Guinea-Bissau,""1948.1"""
"Guyana,""19697.2"""
"Haiti,""3094"""
"Honduras,""5418.2"""
"Hong Kong SAR, China,""59212.1"""
"Hungary,""33253.9"""
"Iceland,""55224.7"""
"India,""6501.5"""
"Indonesia,""12068.2"""
"Iran Islamic Rep.,""13333"""
"Iraq,""9503.2"""
"Ireland,""95237.2"""
"Isle of Man,"""""
"Israel,""42390.9"""
"Italy,""41890.2"""
"Jamaica,""9238.1"""
"Japan,""41732.9"""
"Jordan,""10351.2"""
"Kazakhstan,""26744.4"""
"Kenya,""4576.2"""
"Kiribati,""2382.5"""
"Korea Dem. People's Rep.,"""""
"Korea Rep.,""43319.2"""
"Kosovo,""11383.4"""
"Kuwait,""47289.4"""
"Kyrgyz Republic,""4962.9"""
"Lao PDR,""8236.1"""
"Latvia,""32212.4"""
"Lebanon,""12114.1"""
"Lesotho,""2443.2"""
"Liberia,""1467.8"""
"Libya,""10842.3"""
"Liechtenstein,"""""
"Lithuania,""39191.9"""
"Luxembourg,""118503.6"""
"Macao SAR China,""60872.8"""
"Madagascar,""1543.6"""
"Malawi,""1591"""
"Malaysia,""27913.3"""
"Maldives,""13438.5"""
"Mali,""2347.1"""
"Malta,""42640.1"""
"Marshall Islands,""4146.4"""
"Mauritania,""5388.1"""
"Mauritius,""20522.9"""
"Mexico,""18793.7"""
"Micronesia Fed. Sts.,""3552"""
"Moldova,""12995.6"""
"Monaco,"""""
"Mongolia,""12362.3"""
"Montenegro,""20542.7"""
"Morocco,""7296.2"""
"Mozambique,""1296.9"""
"Myanmar,""5121.9"""
"Namibia,""9294.6"""
"Nauru,""14334.8"""
"Nepal,""4007"""
"Netherlands,""59334.2"""
"New Caledonia,"""""
"New Zealand,""44212.9"""
"Nicaragua,""5567.6"""
"Niger,""1287.8"""
"Nigeria,""5184.5"""
"North Macedonia,""17015.2"""
"Northern Mariana Islands,"""""
"Norway,""63287.6"""
"Oman,""28540.8"""
"Pakistan,""4811.1"""
"Palau,""16315.9"""
"Panama,""26772.5"""
"Papua New Guinea,""4285"""
"Paraguay,""13064.3"""
"Peru,""11874.1"""
"Philippines,""8386.7"""
"Poland,""34406.2"""
"Portugal,""34090.7"""
"Puerto Rico,""35264.1"""
"Qatar,""89935.3"""
"Romania,""31945.7"""
"Russia,""28213.4"""
"Rwanda,""2213"""
"Samoa,""6766.2"""
"San Marino,""63420.3"""
"Sao Tome and Principe,""4272.3"""
"Saudi Arabia,""46742.2"""
"Senegal,""3501.5"""
"Serbia,""19366.8"""
"Seychelles,""25758"""
"Sierra Leone,""1726.5"""
"Singapore,""98483.3"""
"Sint Maarten (Dutch part),""36190.7"""
"Slovak Republic,""32014.6"""
"Slovenia,""40124.3"""
"Solomon Islands,""2618.1"""
"Somalia,""986.7"""
"South Africa,""13355.6"""
"South Sudan,""1234.7"""
"Spain,""38343.2"""
"Sri Lanka,""13219.7"""
"St. Kitts and Nevis,""25643.8"""
"St. Lucia,""12705.1"""
"St. Martin (French part),"""""
"St. Vincent and the Grenadines,""12700.3"""
"Sudan,""4243.8"""
"Suriname,""16728.5"""
"Sweden,""54929.5"""
"Switzerland,""71760.6"""
"Syrian Arab Republic,"""""
"Tajikistan,""3856.8"""
"Tanzania,""2780.1"""
"Thailand,""18226"""
"Timor-Leste,""4139.8"""
"Togo,""2222.7"""
"Tonga,""6692.6"""
"Trinidad and Tobago,""25014.4"""
"Tunisia,""10818.8"""
"Turkey,""28113.7"""
"Turkmenistan,""16195.5"""
"Turks and Caicos Islands,""22277.5"""
"Tuvalu,""4651.2"""
"Uganda,""2293.5"""
"Ukraine,""13056.7"""
"United Arab Emirates,""66746.6"""
"United Kingdom,""45852.7"""
"United States,""63413.5"""
"Uruguay,""22785.2"""
"Uzbekistan,""7731.1"""
"Vanuatu,""3009.7"""
"Venezuela, RB,""17527.7"""
"Vietnam,""8646.9"""
"Virgin Islands (U.S.),"""""
"West Bank and Gaza,""5687.8"""
"Yemen,""3688.5"""
"Zambia,""3456.3"""
"Zimbabwe,""3536"""
