Country, PPP
Switzerland,6313.83
Singapore,4174.09
Luxembourg,4104.29
United States,3602.75
Australia,3585.89
Denmark,3497.47
Norway,3415.41
Iceland,3221.76
Qatar,3161.48
Hong Kong,3013.88
Netherlands,2963.84
Ireland,2906.84
Germany,2880.95
United Arab Emirates,2879.84
Sweden,2860.25
Canada,2772.07
Israel,2766.2
Japan,2742.81
United Kingdom,2724.95
New Zealand,2722.32
Finland,2715.56
France,2557.73
Belgium,2372.73
Austria,2292.64
South Korea,2178.89
Puerto Rico,1931.66
Kuwait,1886.58
Saudi Arabia,1770.3
Oman,1733.43
Italy,1626.31
Spain,1582.53
Bahrain,1558.88
Taiwan,1431.92
South Africa,1415.49
Cyprus,1405.46
Czech Republic,1355.04
Estonia,1350.25
Slovenia,1288.08
Malta,1286.2
Lithuania,1074.01
China,1073.01
Slovakia,1005.55
Lebanon,993.7
Portugal,966.24
Poland,957.81
Latvia,948.83
Croatia,905.43
Palestine,838.37
Trinidad And Tobago,836.99
Hungary,835.08
Greece,834.22
Malaysia,801.8
Costa Rica,746.51
Panama,740.26
Romania,667.52
Bulgaria,666.97
Uruguay,618.92
Chile,610.25
Jamaica,596.65
Bosnia And Herzegovina,579.79
Jordan,572.87
Iraq,565.44
Thailand,559.1
Mexico,556.79
Russia,550.5
Montenegro,541.29
Serbia,521.11
Honduras,500.93
Bolivia,497.27
Guatemala,476.5
Ecuador,470.32
Ukraine,468.25
Kosovo (Disputed Territory),465.02
Vietnam,462.41
India,462.19
Morocco,439.2
Kenya,421.55
Albania,413.94
North Macedonia,408.4
Armenia,399.78
Belarus,398.87
Argentina,398.14
Kazakhstan,378.36
Turkey,374.45
El Salvador,373.68
Brazil,370.98
Peru,369.44
Dominican Republic,334.11
Azerbaijan,315.74
Colombia,314.53
Philippines,309.63
Bangladesh,297.79
Iran,297.73
Indonesia,296.52
Tunisia,285.09
Ghana,281.13
Venezuela,252.5
Uzbekistan,247.85
Algeria,239.57
Egypt,235.58
Sri Lanka,234.15
Nepal,228.29
Ethiopia,199.51
Pakistan,194.94
Nigeria,183.57
Syria,67.03
